"airport_id","latitude","longitude"
"AL79",32.2695864,-86.0988497
"AL77",31.7405556,-86.0070278
"AL62",31.0829558,-85.6835442
"AL41",31.1160106,-85.6254889
"AL37",31.5550278,-85.9772778
"AL25",32.2423686,-85.6010594
"AL05",32.221336,-85.471783
"84AL",31.3026111,-85.5231389
"71J",31.431812,-85.6205339
"71AL",31.8087861,-86.523525
"68AL",31.8084,-86.525
"5AL8",31.105,-85.9930556
"5AL7",31.25,-86.1666667
"4AL9",31.9747222,-86.2938889
"3AL1",31.0504167,-85.6852778
"36AL",31.4928889,-85.5342778
"33J",31.052625,-85.8689444
"1A4",31.1037028,-86.0626
"14J",31.4100417,-86.0903361
"11A",31.8833333,-85.4852222
"0J6",31.3641389,-85.3125278
"0J4",31.0424736,-86.3115611
"0J0",31.6002222,-85.2383083
"07A",32.1675922,-85.8111967
"04A",31.7363869,-86.2624546
"GA48",31.5861111,-84.7905556
"GA22",31.4385086,-84.7082514
"79GA",31.4912825,-85.0165939
"66GA",31.4747222,-85.0027778
"63GE",32.0473583,-84.7400639
"4GA8",31.4154539,-84.7129739
"25J",31.7018889,-84.8269722
"17J",31.0065072,-84.8776367
"05GA",32.0713889,-84.7144444
"1J0",30.8438856,-85.6017494
"94FA",30.4136403,-85.7452597
"7AL5",31.2899028,-85.5404778
"FL17",30.5196411,-86.4382819
"FD94",30.7188889,-85.6066667
"FD93",30.6854686,-86.7471783
"FD35",30.4904728,-85.8393778
"FD26",30.9818492,-85.4924328
"F95",30.4870301,-85.113785
"8FD3",30.877685,-86.8544044
"74FD",30.4640836,-85.1771425
"68FD",30.5222222,-85.3766667
"5FL8",30.8882439,-85.1677072
"5FD1",30.4321389,-85.2888106
"56FD",30.9646303,-85.0693733
"55FD",30.81852,-86.6880108
"50FD",30.5182494,-85.1988108
"3FL8",30.9462778,-85.2738194
"2FL3",30.6725835,-85.0834517
"2FL0",30.4568611,-85.6860389
"1J9",30.4063056,-86.8291944
"18FD",30.8540742,-86.6671769
"0FD3",30.4964167,-86.0938333
"05FA",30.9188889,-86.2183333
"49FD",30.6119444,-84.6416667
"FL81",30.7818539,-86.4671725
"7AL7",31.0645,-85.4393889
"FL34",30.6318583,-86.7471778
"FD03",30.803,-86.4364778
"FA55",30.7797222,-85.7683333
"8FL6",30.6735247,-86.8519042
"69FD",30.8447222,-86.2813889
"21FD",30.6946381,-85.3107611
"0FD9",30.6521356,-86.1093844
"0FD5",30.8201833,-86.3443917
"0FD4",30.6074861,-85.0252917
"79J",31.3083611,-86.3922222
