"lid","latitude","longitude"
"NC12",35.3896117,-76.7846561
"NC17",34.9801647,-76.3079692
"NC20",35.0898611,-77.1708333
"NC22",35.2275333,-78.5551833
"NC28",36.2001581,-76.2357667
"NC36",36.2088889,-75.8644444
"NC45",36.2172222,-77.6375
"NC49",35.528425,-77.198175
"NC54",34.8776639,-76.3565825
"NC56",36.2047222,-78.4688889
"NC61",36.4594444,-76.2108333
"NC66",36.1312672,-77.2957994
"NC69",34.8710036,-78.4741719
"NC72",35.451025,-78.1594278
"NC73",35.4387775,-76.4493689
"NC84",36.04256,-77.37722
"NC87",34.8818267,-76.9427211
"NC99",35.6743208,-78.6072272
"NR10",35.0507192,-77.7360869
"NR17",35.7174222,-77.9443546
"NR24",36.1120821,-78.2945949
"NR28",35.1969661,-78.4846603
"NR37",35.0572222,-77.4619444
"NR40",35.8208333,-77.3788889
"NR84",36.434486,-78.1299893
"VA05",37.3386556,-77.1978056
"VA08",37.7170794,-76.358835
"VA19",37.9540294,-78.3691744
"VA20",37.5675931,-75.7938597
"VA23",38.1190178,-76.6135689
"VA25",36.7643075,-78.3605531
"VA30",38.5267908,-77.956385
"VA33",37.0443167,-76.76825
"VA34",37.2834853,-78.4497178
"VA41",37.9345686,-75.6099272
"VA42",38.3592111,-77.4505083
"VA44",37.7168122,-77.8838844
"VA50",37.7151425,-77.3024783
"VA56",37.0034831,-76.8274594
"VA57",38.2484617,-77.219145
"VA66",38.6076333,-77.5694278
"VA71",38.6484525,-77.5327656
"VA73",37.244595,-77.4941528
"VA81",37.9454186,-77.8994397
"VA91",37.7048525,-75.7265961
"VA92",37.7238889,-75.7861111
"VA94",37.5357042,-77.8913875
"VA98",37.8281856,-76.2732769
"VA99",37.9059619,-76.2905
"VG01",37.0623722,-78.5616944
"VG05",37.8795867,-78.0574992
"VG07",38.5388889,-77.8283333
"VG09",37.2277778,-75.9833333
"VG12",38.3334639,-77.8663833
"VG19",37.9906786,-75.5918711
"VG20",37.6751311,-75.7099289
"VG24",37.7818089,-77.4938725
"VG28",36.5490406,-77.1913561
"VG29",37.9701111,-76.7086667
"VG30",37.2270839,-75.9768758
"VG33",37.1545861,-75.9568744
"VG34",36.5845858,-78.5008322
"VG37",36.5893183,-76.6380083
"VG39",37.2208333,-76.0075
"VG41",37.5097222,-77.5938889
"VG42",37.2523611,-77.1526667
"VG43",38.3063889,-78.0988889
"VG56",37.8083333,-75.6027778
"VG57",38.6056764,-77.5847106
"VG64",37.5615,-76.8525278
"W03",35.7704069,-77.9697914
"W17",35.7977222,-78.4370097
"W31",36.9604028,-78.1851111
"W32",38.7482614,-76.9328169
"W40",35.2214542,-78.0386167
"W41",38.0181667,-75.8268611
"W63",36.59575,-78.5601389
"W75",37.6022708,-76.4467292
"W81",37.1810122,-78.0984747
"W94",37.3127943,-76.6382172
"W95",35.1011667,-75.9659722
"W96",37.5034294,-77.1265583
